Title,Instuctor,Location,Cost,learning_objectives,provided_materals,skills_developed,course_description,class_ID
Python for Beginners,Dr. Smith,Berlin,199,"Understand Python basics; variables; loops","Slides; exercises; code samples","Problem solving; programming fundamentals","An introductory course covering Python syntax and basic programming concepts.",C001
Data Analysis with Pandas,Anna MÃ¼ller,Hamburg,249,"Data cleaning; filtering; grouping","Datasets; Jupyter notebooks","Data manipulation; analytical thinking","Learn how to analyse and manipulate datasets using pandas.",C002
Web Development with Flask,James Carter,Online,299,"Build web apps; routing; templates","Source code; deployment guide","Backend development; HTTP understanding","Create dynamic web applications using Flask and Jinja templates.",C003
Machine Learning Foundations,Sophie Laurent,Munich,399,"Supervised vs unsupervised learning; evaluation","Slides; example models","Model evaluation; feature engineering","A foundational overview of machine learning techniques and workflows.",C004
Advanced SQL,Mark Thompson,Frankfurt,179,"Complex joins; indexing; optimisation","Practice database; query sheets","Database querying; performance tuning","Deep dive into SQL for efficient database querying.",C005
React for Frontend Development,Laura Becker,Online,279,"Components; state; hooks","Starter project; code examples","Frontend architecture; UI logic","Build interactive frontend applications using React.",C006
Data Visualisation with Plotly,Daniel Rossi,Berlin,219,"Interactive charts; dashboards","Sample datasets; templates","Data storytelling; visual communication","Learn to create interactive dashboards using Plotly.",C007
Intro to DevOps,Clara Schmidt,Stuttgart,259,"CI/CD; Docker basics; cloud deployment","Dockerfiles; pipeline examples","Deployment; automation","Understand modern DevOps practices and deployment pipelines.",C008
AI Prompt Engineering,Michael Nguyen,Online,349,"Prompt design; mitigation strategies","Case studies; exercises","AI interaction; structured prompting","Learn how to design effective prompts for large language models.",C009
Cybersecurity Basics,Emma Wilson,Cologne,189,"Threat modelling; encryption basics","Security lab; practice scenarios","Security awareness; risk analysis","An introduction to cybersecurity principles and best practices.",C010